name,Egg Groups,Gender,Egg cycles
Bulbasaur, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Ivysaur, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Venusaur, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Charmander, Dragon Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Charmeleon, Dragon Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Charizard, Dragon Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Squirtle, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Wartortle, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Blastoise, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Caterpie, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Metapod, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Butterfree, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Weedle, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Kakuna, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Beedrill, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Pidgey, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Pidgeotto, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Pidgeot, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Rattata, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Raticate, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Spearow, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
