name,National №,Type,Species,Height,Weight,Abilities,Local №
Bulbasaur,001, Grass Poison,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs), Overgrow Chlorophyll, Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll
Ivysaur,002, Grass Poison,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs), Overgrow Chlorophyll, Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll
Venusaur,003, Grass Poison,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs), Overgrow Chlorophyll, Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll
Charmander,004, Fire,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs), Blaze Solar Power, Solar Power Solar Power Solar Power Solar Power Solar Power Solar Power Solar Power
Charmeleon,005, Fire,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs), Blaze Solar Power, Solar Power Solar Power Solar Power Solar Power Solar Power Solar Power Solar Power
Charizard,006, Fire Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs), Blaze Solar Power, Solar Power Solar Power Solar Power Solar Power Solar Power Solar Power Solar Power
Squirtle,007, Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs), Torrent Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Wartortle,008, Water,Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs), Torrent Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Blastoise,009, Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs), Torrent Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Caterpie,010, Bug,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs), Shield Dust Run Away, Run Away Run Away Run Away Run Away Run Away Run Away Run Away Run Away Run Away
Metapod,011, Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs), Shed Skin, Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin
Butterfree,012, Bug Flying,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs), Compound Eyes Tinted Lens, Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens Tinted Lens
Weedle,013, Bug Poison,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs), Shield Dust Run Away, Run Away Run Away Run Away Run Away Run Away Run Away
Kakuna,014, Bug Poison,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs), Shed Skin, Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin Shed Skin
Beedrill,015, Bug Poison,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs), Swarm Sniper, Sniper Sniper Sniper Sniper Sniper Sniper
Pidgey,016, Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs), Keen Eye Tangled Feet Big Pecks, Big Pecks Big Pecks Big Pecks Big Pecks Big Pecks Big Pecks
Pidgeotto,017, Normal Flying,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs), Keen Eye Tangled Feet Big Pecks, Big Pecks Big Pecks Big Pecks Big Pecks Big Pecks Big Pecks
Pidgeot,018, Normal Flying,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs), Keen Eye Tangled Feet Big Pecks, Big Pecks Big Pecks Big Pecks Big Pecks Big Pecks Big Pecks
Rattata,019, Normal,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs), Run Away Guts Hustle, Hustle Hustle Hustle Hustle Hustle Hustle Hustle Hustle
Raticate,020, Normal,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs), Run Away Guts Hustle, Hustle Hustle Hustle Hustle Hustle Hustle Hustle Hustle
Spearow,021, Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs), Keen Eye Sniper, Sniper Sniper Sniper Sniper Sniper Sniper Sniper Sniper
Fearow,022, Normal Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs), Keen Eye Sniper, Sniper Sniper Sniper Sniper Sniper Sniper Sniper Sniper
