name,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate
Bulbasaur,"
1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),64,Medium Slow
Ivysaur,"
1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Venusaur,"
2 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),236,Medium Slow
Charmander,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Charmeleon,"
1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Charizard,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),240,Medium Slow
Squirtle,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),63,Medium Slow
Wartortle,"
1 Defense, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Blastoise,"
3 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),239,Medium Slow
Caterpie,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),39,Medium Fast
Metapod,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),72,Medium Fast
Butterfree,"
2 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),178,Medium Fast
Weedle,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),39,Medium Fast
Kakuna,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),72,Medium Fast
Beedrill,"
2 Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),178,Medium Fast
Pidgey,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),50,Medium Slow
Pidgeotto,"
2 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),122,Medium Slow
Pidgeot,"
3 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),216,Medium Slow
Rattata,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),51,Medium Fast
Raticate,"
2 Speed ","127 (16.6% with PokéBall, full HP) (16.6% with PokéBall, full HP)",70 (normal) (normal),145,Medium Fast
Spearow,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),52,Medium Fast
Fearow,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),155,Medium Fast
Ekans,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),58,Medium Fast
Arbok,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),157,Medium Fast
Pikachu,"
2 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),112,Medium Fast
Raichu,"
3 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),218,Medium Fast
Sandshrew,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Medium Fast
Sandslash,"
2 Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),158,Medium Fast
Nidoran♀,"
1 HP ","235 (30.7% with PokéBall, full HP) (30.7% with PokéBall, full HP)",70 (normal) (normal),55,Medium Slow
Nidorina,"
2 HP ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),128,Medium Slow
Nidoqueen,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),227,Medium Slow
Nidoran♂,"
1 Attack ","235 (30.7% with PokéBall, full HP) (30.7% with PokéBall, full HP)",70 (normal) (normal),55,Medium Slow
Nidorino,"
2 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),128,Medium Slow
Nidoking,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),227,Medium Slow
Clefairy,"
2 HP ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",140 (higher than normal) (higher than normal),113,Fast
Clefable,"
3 HP ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",140 (higher than normal) (higher than normal),217,Fast
Vulpix,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),60,Medium Fast
Ninetales,"
1 Special Defense, 1 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),177,Medium Fast
Jigglypuff,"
2 HP ","170 (22.2% with PokéBall, full HP) (22.2% with PokéBall, full HP)",70 (normal) (normal),95,Fast
Wigglytuff,"
3 HP ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),196,Fast
Zubat,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),49,Medium Fast
Golbat,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Oddish,"
1 Special Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),64,Medium Slow
Gloom,"
2 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),138,Medium Slow
Vileplume,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),221,Medium Slow
Paras,"
1 Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),57,Medium Fast
Parasect,"
2 Attack, 1 Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),142,Medium Fast
Venonat,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),61,Medium Fast
Venomoth,"
1 Special Attack, 1 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),158,Medium Fast
Diglett,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),53,Medium Fast
Dugtrio,"
2 Speed ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),149,Medium Fast
Meowth,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),58,Medium Fast
Persian,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),154,Medium Fast
Psyduck,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),64,Medium Fast
Golduck,"
2 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Mankey,"
1 Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),61,Medium Fast
Primeape,"
2 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Growlithe,"
1 Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),70,Slow
Arcanine,"
2 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),194,Slow
Poliwag,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Medium Slow
Poliwhirl,"
2 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),135,Medium Slow
Poliwrath,"
3 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),230,Medium Slow
Abra,"
1 Special Attack ","200 (26.1% with PokéBall, full HP) (26.1% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Kadabra,"
2 Special Attack ","100 (13.1% with PokéBall, full HP) (13.1% with PokéBall, full HP)",70 (normal) (normal),140,Medium Slow
Alakazam,"
3 Special Attack ","50 (6.5% with PokéBall, full HP) (6.5% with PokéBall, full HP)",70 (normal) (normal),225,Medium Slow
Machop,"
1 Attack ","180 (23.5% with PokéBall, full HP) (23.5% with PokéBall, full HP)",70 (normal) (normal),61,Medium Slow
Machoke,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
